CID000003015,G03HA01
CID000004011,N06AA21
CID000071273,N01BB09
CID000062816,C10AC02
CID000052421,D07AC18,V01AA07,V01AA03
CID000056339,N03AB05
CID000077992,N02CC07
CID000005300,L01AD04
CID000222786,H02AB10,S01BA03
CID000071301,C07AB12
CID000004870,C03AA05
CID000004873,A12BA01,B05XA01
CID000002142,D06AX12,J01GB06,S01AA21
CID000002141,V03AF05
CID000131536,J05AE07
CID000001775,N03AB02,N03AB04,N03AB05
CID000003305,M05BA01,M05BB01
CID000005454,N05AF04
CID000003308,M01AB08
CID000004909,D08AC04,S03AA05,S01AX08,R01AX07,R02AA18,N03AA03
CID000004908,P01BA03
CID000002099,A03AE01
CID000054688,J01FA09
CID000002092,G04CA01
CID000005503,A10BB05
CID000004536,G03AC01
CID006918453,M01CB03
CID000003706,J05AE02
CID000005408,G03BA02,G03BA03,G03EK01
CID000004497,C08CA06
CID000004493,L02BB02
CID000003219,S01GX06
CID000002435,S01EA05
CID000003121,N03AG01
CID000040159,P03AC04
CID000005878,A14AA08
CID000002554,N03AF01
CID000002550,C09AA01
CID000002551,N07AB01,S01EB02
CID000010100,N02AC04,N02AC54,N02AC74
CID000002559,J01CA03
CID000443871,A10BX03
CID000003059,N02BA11
CID000019090,G03AC05,G03DB02,L02AB01,G03DB04
CID000059768,C07AB09
CID004183806,A02BB01
CID000176870,L01XE03
CID000004473,C08CA04
CID000003440,C03CA01
CID000003449,N06DA04
CID000003685,L01DB06
CID000003937,C09AA03
CID004630253,D07AB10,S01BA10
CID000018140,L01XX11
CID000000727,P03AB02,D08AE01
CID004475485,C10AA07
CID000077993,N02CC06
CID000148211,A04AA05
CID000072938,J01MA15
CID000002153,R03DA04,R03DA05
CID000002156,C01BD01
CID000008953,B05XA02,B05CB04
CID000005203,N06AB06
CID000005206,N01AB08
CID005281104,H05BX02
CID000004917,N05AB04
CID000004914,C05AD05,D04AB03,J01CE09,N01BA02,N01BA04,S01HA02,S01HA05,C01BA02
CID000004913,C01BA02
CID000003339,C10AB05
CID000004911,M04AB01
CID000213039,J05AE10
CID006436173,A07AA11,D06AX11
CID000002088,M05BA04
CID000002082,P02CA03
CID000005515,L01XX17
CID000005516,L02BA02
CID000002145,L02BG01
CID000005512,G04BD07
CID000005735,N05CF01
CID000005734,N03AX15
CID000005731,N02CC03
CID000005732,N05CF02
CID000003203,J05AG03
CID000002140,V08AA01,V08AA04
